City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zheshart,RU,62.0731,49.5733,37.42,99,100,5.73,overcast clouds
1,Anshun,CN,26.25,105.9333,67.5,54,0,7.78,clear sky
2,Ushuaia,AR,-54.8,-68.3,37.06,87,75,19.57,light intensity drizzle
3,Tasiilaq,GL,65.6145,-37.6368,21.27,88,100,7.2,light snow
4,Socorro,US,31.6546,-106.3033,72.59,26,14,30.53,few clouds
5,Wuwei,CN,37.9281,102.6414,47.48,29,100,4.34,overcast clouds
6,Albany,US,42.6001,-73.9662,48.92,48,86,4.47,overcast clouds
7,Bambous Virieux,MU,-20.3428,57.7575,79.21,88,75,11.5,light rain
8,Chokurdakh,RU,70.6333,147.9167,6.75,85,100,2.39,overcast clouds
9,Noumea,NC,-22.2763,166.4572,85.98,74,15,7.27,few clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,54.09,83,0,8.99,clear sky
11,Bubaque,GW,11.2833,-15.8333,74.14,75,99,7.4,overcast clouds
12,Atuona,PF,-9.8,-139.0333,79.54,79,19,17.67,few clouds
13,Hithadhoo,MV,-0.6,73.0833,83.68,70,6,11.16,clear sky
14,Airai,TL,-8.9266,125.4092,74.64,58,89,2.68,overcast clouds
15,Goundam,ML,16.4145,-3.6708,80.96,11,100,5.12,overcast clouds
16,Bredasdorp,ZA,-34.5322,20.0403,61.92,91,97,3.22,overcast clouds
17,Ponta Do Sol,PT,32.6667,-17.1,66.0,78,92,3.31,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,79.12,71,13,20.92,light rain
19,East London,ZA,-33.0153,27.9116,67.14,100,75,8.05,light rain
20,Punta Arenas,CL,-53.15,-70.9167,44.71,65,40,23.02,scattered clouds
21,Esperance,AU,-33.8667,121.9,71.44,77,36,15.32,scattered clouds
22,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,68,75,12.66,broken clouds
23,Bethel,US,41.3712,-73.414,53.65,68,72,2.84,broken clouds
24,Yellowknife,CA,62.456,-114.3525,9.12,52,20,4.61,few clouds
25,Kapaa,US,22.0752,-159.319,77.18,83,76,4.0,broken clouds
26,Port Elizabeth,ZA,-33.918,25.5701,62.89,99,0,5.75,clear sky
27,Caravelas,BR,-17.7125,-39.2481,75.27,90,57,3.51,broken clouds
28,Anadyr,RU,64.75,177.4833,28.9,74,75,20.13,light snow
29,Clyde River,CA,70.4692,-68.5914,-5.57,77,0,10.36,clear sky
30,Utrecht,NL,52.0,5.25,55.98,85,100,1.01,overcast clouds
31,Newport,GB,51.5877,-2.9984,52.52,91,59,7.87,broken clouds
32,Constantine,DZ,36.365,6.6147,56.61,71,20,9.22,few clouds
33,Codrington,AU,-38.2667,141.9667,65.89,61,85,11.12,overcast clouds
34,Kiwira,TZ,-9.1667,33.5333,62.42,98,98,2.62,overcast clouds
35,Grand Gaube,MU,-20.0064,57.6608,79.38,81,22,8.99,few clouds
36,Victoria,HK,22.2855,114.1577,83.17,78,8,10.0,clear sky
37,Hofn,IS,64.2539,-15.2082,36.03,83,86,16.67,overcast clouds
38,Vanavara,RU,60.34,102.2797,34.0,54,86,9.44,overcast clouds
39,Port Alfred,ZA,-33.5906,26.891,63.18,96,89,6.11,overcast clouds
40,Tucuman,AR,-26.8241,-65.2226,66.2,94,100,4.61,mist
41,Les Cayes,HT,18.2,-73.75,75.92,82,16,3.0,few clouds
42,Yakeshi,CN,49.2833,120.7333,41.2,26,47,6.4,scattered clouds
43,Narsaq,GL,60.9167,-46.05,34.21,59,100,4.97,overcast clouds
44,Komsomolskiy,UZ,40.4272,71.7189,72.32,37,22,2.3,few clouds
45,Pemangkat,ID,1.1667,108.9667,85.1,69,89,6.2,overcast clouds
46,Ribeira Grande,PT,38.5167,-28.7,62.22,82,100,27.27,overcast clouds
47,Qaanaaq,GL,77.484,-69.3632,-1.73,100,100,0.89,overcast clouds
48,Tongliao,CN,43.6125,122.2653,54.63,20,86,6.89,overcast clouds
49,Luderitz,,-26.6481,15.1594,60.71,79,1,6.53,clear sky
50,Palencia,ES,42.4167,-4.5,38.79,88,19,3.0,few clouds
51,Katsuura,JP,35.1333,140.3,69.21,84,100,13.15,overcast clouds
52,Adrar,MR,20.5022,-10.0711,73.31,18,91,11.92,overcast clouds
53,Nemuro,JP,43.3236,145.575,35.91,87,100,11.59,overcast clouds
54,Mataura,NZ,-46.1927,168.8643,57.47,51,28,2.8,scattered clouds
55,Roald,NO,62.5833,6.1333,42.75,81,100,3.44,overcast clouds
56,Shelburne,CA,44.0787,-80.2041,50.79,52,100,5.86,overcast clouds
57,Lasa,IT,46.6166,10.7002,45.48,79,98,1.79,overcast clouds
58,Ekhabi,RU,53.5102,142.9671,29.14,65,100,10.36,overcast clouds
59,Muros,ES,42.7762,-9.0603,54.84,93,67,7.54,broken clouds
60,Hasaki,JP,35.7333,140.8333,84.29,76,100,15.41,overcast clouds
61,Dikson,RU,73.5069,80.5464,26.29,95,100,9.98,light snow
62,Hearst,CA,49.6835,-83.6665,32.25,96,100,1.9,overcast clouds
63,Kodiak,US,57.79,-152.4072,40.51,65,75,11.5,broken clouds
64,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,0.0,clear sky
65,Fortuna,US,40.5982,-124.1573,44.92,86,100,1.01,overcast clouds
66,Torbat-E Jam,IR,35.244,60.6225,73.04,17,0,2.13,clear sky
67,Sume,BR,-7.6717,-36.88,68.56,94,34,4.32,scattered clouds
68,Zhuhai,CN,22.2769,113.5678,84.85,88,40,9.22,scattered clouds
69,Saldanha,ZA,-33.0117,17.9442,60.85,91,79,11.05,broken clouds
70,Malkangiri,IN,18.35,81.9,93.25,39,71,3.6,broken clouds
71,Bluff,NZ,-46.6,168.3333,57.79,59,28,9.28,scattered clouds
72,Hilo,US,19.7297,-155.09,74.25,90,100,8.05,moderate rain
73,Cape Town,ZA,-33.9258,18.4232,62.91,95,100,8.99,fog
74,Jamestown,US,42.097,-79.2353,53.24,49,0,4.61,clear sky
75,Hobart,AU,-42.8794,147.3294,71.02,48,20,11.5,few clouds
76,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,50,0,24.16,clear sky
77,Busselton,AU,-33.65,115.3333,71.91,39,0,8.14,clear sky
78,Marshall,US,34.3834,-86.3333,71.31,62,0,4.61,clear sky
79,Cherskiy,RU,68.75,161.3,11.05,77,100,4.65,overcast clouds
80,Kaitangata,NZ,-46.2817,169.8464,57.4,52,30,3.04,scattered clouds
81,Port Lincoln,AU,-34.7333,135.8667,68.95,61,80,13.76,broken clouds
