City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Vieux Grand Port
9,Noumea,NC,85.98,few clouds,-22.2763,166.4572,Nouméa
12,Atuona,PF,79.54,few clouds,-9.8,-139.0333,Atuona
13,Hithadhoo,MV,83.68,clear sky,-0.6,73.0833,Addu City
15,Goundam,ML,80.96,overcast clouds,16.4145,-3.6708,Goundam
18,Rikitea,PF,79.12,light rain,-23.1203,-134.9692,Rikitea
25,Kapaa,US,77.18,broken clouds,22.0752,-159.319,Kapaʻa
27,Caravelas,BR,75.27,broken clouds,-17.7125,-39.2481,Caravelas
35,Grand Gaube,MU,79.38,few clouds,-20.0064,57.6608,Goodlands
36,Victoria,HK,83.17,clear sky,22.2855,114.1577,Hong Kong
41,Les Cayes,HT,75.92,few clouds,18.2,-73.75,Les Cayes
45,Pemangkat,ID,85.1,overcast clouds,1.1667,108.9667,Pemangkat
60,Hasaki,JP,84.29,overcast clouds,35.7333,140.8333,Kamisu
68,Zhuhai,CN,84.85,scattered clouds,22.2769,113.5678,Zhuhai
70,Malkangiri,IN,93.25,broken clouds,18.35,81.9,Malkangiri
83,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Klouklubed
85,Namibe,AO,75.42,clear sky,-15.1961,12.1522,Namibe
88,Atambua,ID,82.89,overcast clouds,-9.1061,124.8925,Atambua
89,Kapit,MY,91.31,overcast clouds,2.0167,112.9333,Kapit
91,Puerto Ayora,EC,76.62,overcast clouds,-0.7393,-90.3518,Puerto Ayora
94,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Carnarvon
100,Georgetown,MY,89.55,few clouds,5.4112,100.3354,George Town
101,Vaini,TO,84.36,few clouds,-21.2,-175.2,Nukuhetulu
112,Sola,VU,90.27,scattered clouds,-13.8833,167.55,Sola
114,Sindou,BF,81.14,broken clouds,10.6667,-5.1667,Sindou
118,Ormara,PK,80.33,clear sky,25.2088,64.6357,Ormara
119,Leshan,CN,75.04,overcast clouds,29.5623,103.7639,Leshan
122,Carutapera,BR,76.24,overcast clouds,-1.195,-46.02,Carutapera
123,Wagar,SD,85.23,clear sky,16.1525,36.2032,Wagga
124,Lorengau,PG,84.94,clear sky,-2.0226,147.2712,Lorengau
126,San Patricio,US,76.89,few clouds,28.017,-97.5169,Sinton
127,Butaritari,KI,82.04,broken clouds,3.0707,172.7902,Ukiangang
130,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Avarua District
134,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Hambantota
135,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,Saint-Philippe
138,Kavieng,PG,83.91,light rain,-2.5744,150.7967,Kavieng
147,Itoman,JP,78.82,scattered clouds,26.1247,127.6694,Itoman
153,Kerema,PG,86.14,overcast clouds,-7.9631,145.7785,Kerema
156,Hobyo,SO,82.62,clear sky,5.3505,48.5268,Hobyo
171,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Mahebourg
172,Port-Gentil,GA,79.83,light rain,-0.7193,8.7815,Port-Gentil
173,Pundaguitan,PH,84.04,overcast clouds,6.3711,126.1689,Mati
174,Calabozo,VE,83.37,scattered clouds,8.9242,-67.4293,Calabozo
178,Souillac,MU,77.68,light rain,-20.5167,57.5167,Souillac
179,Pathein,MM,93.7,clear sky,16.7833,94.7333,Pathein
180,Galle,LK,84.06,moderate rain,6.0367,80.217,Galle
181,Nizwa,OM,90.14,clear sky,22.9333,57.5333,Nizwa
188,Uribia,CO,79.34,broken clouds,11.7139,-72.266,"Uribia, La Guajira"
193,Tabou,CI,78.24,light rain,4.423,-7.3528,Tabou
195,Cockburn Town,TC,77.22,overcast clouds,21.4612,-71.1419,Cockburn Town
197,Wanning,CN,85.03,clear sky,18.8003,110.3967,Wanning
202,Makakilo City,US,75.69,broken clouds,21.3469,-158.0858,Kapolei
203,Sinnamary,GF,77.47,overcast clouds,5.3833,-52.95,Sinnamary
205,Namatanai,PG,85.62,broken clouds,-3.6667,152.4333,Namatanai
207,Alepe,CI,76.87,overcast clouds,5.5004,-3.6631,Alépé
209,Mayumba,GA,76.44,light rain,-3.432,10.6554,Mayumba
216,Magaria,NE,77.59,scattered clouds,12.9983,8.9099,Magaria
218,Alofi,NU,81.9,light rain,-19.0595,-169.9187,Alofi
220,Cayenne,GF,81.09,overcast clouds,4.9333,-52.3333,Cayenne
221,Porto Velho,BR,77.05,broken clouds,-8.7619,-63.9039,Porto Velho
226,Vanimo,PG,86.43,broken clouds,-2.6741,141.3028,Vanimo
230,Touros,BR,77.29,broken clouds,-5.1989,-35.4608,Touros
231,La Asuncion,VE,76.95,few clouds,11.0333,-63.8628,La Asuncion
234,Dahanu,IN,88.05,broken clouds,19.9667,72.7333,Dahanu
235,Nicoya,CR,79.14,broken clouds,10.1483,-85.452,Nicoya
236,Samarai,PG,84.74,overcast clouds,-10.6167,150.6667,Magesina
238,Mount Isa,AU,94.77,overcast clouds,-20.7333,139.5,Mount Isa
241,Port Augusta,AU,89.71,few clouds,-32.5,137.7667,Port Augusta
244,Jamalpur,BD,88.65,few clouds,24.9167,89.9333,Jamalpur
245,Matara,LK,82.71,light rain,5.9485,80.5353,Matara
249,Acarau,BR,77.67,broken clouds,-2.8856,-40.12,Acaraú
250,Corpus Christi,US,77.02,overcast clouds,27.8006,-97.3964,Corpus Christi
263,Charters Towers,AU,88.68,scattered clouds,-20.1,146.2667,Charters Towers
264,Wau,SS,78.28,few clouds,7.7029,27.9953,Wau
268,Mecca,SA,82.26,scattered clouds,21.4267,39.8261,Mecca
270,Tombouctou,ML,79.25,clear sky,20.0,-3.0,
272,Youkounkoun,GN,78.12,overcast clouds,12.5333,-13.1333,Youkounkoun
273,Porto Novo,BJ,78.03,overcast clouds,6.4965,2.6036,Porto-Novo
274,Arraial Do Cabo,BR,76.35,broken clouds,-22.9661,-42.0278,Cabo Frio
276,Daru,PG,85.84,overcast clouds,-9.0763,143.2092,Daru
277,Mahibadhoo,MV,84.88,moderate rain,3.7833,72.9667,Omadhoo
284,Lampazos De Naranjo,MX,81.66,clear sky,27.0167,-100.5167,Lampazos de Naranjo
288,Ciamis,ID,87.19,scattered clouds,-7.3257,108.3534,Tasikmalaya
292,Faanui,PF,82.38,few clouds,-16.4833,-151.75,Vaitape
299,Boyolangu,ID,85.51,broken clouds,-8.1181,111.8935,Tulungagung
300,Yibin,CN,77.22,broken clouds,28.7667,104.6238,Yibin
303,Alice Springs,AU,94.55,clear sky,-23.7,133.8833,Alice Springs
306,Oranjestad,AW,78.55,scattered clouds,12.524,-70.027,Oranjestad
308,Ranong,TH,86.13,scattered clouds,9.9658,98.6348,Bang Rin
311,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Bairiki
314,Kavaratti,IN,85.21,very heavy rain,10.5669,72.642,Kavaratti
318,Kawalu,ID,86.31,broken clouds,-7.3817,108.2082,Tasikmalaya
319,Bowen,AU,83.64,few clouds,-20.0167,148.2333,Bowen
324,Ntoum,GA,75.76,overcast clouds,0.3833,9.7833,Ntoum
326,Ho Chi Minh City,VN,91.42,broken clouds,10.75,106.6667,Ho Chi Minh City
327,Shimoda,JP,75.11,overcast clouds,34.6667,138.95,Shimoda
328,Mohan,IN,85.95,broken clouds,26.7833,80.6833,Mohan
330,Mangrol,IN,85.39,clear sky,21.1167,70.1167,Mangrol
331,Bitung,ID,90.45,overcast clouds,1.4451,125.1824,Bitung
332,Saint-Pierre,RE,78.91,few clouds,-21.3393,55.4781,Saint Pierre
333,Sabya,SA,87.93,broken clouds,17.1495,42.6254,Sabya
334,Nishihara,JP,78.08,scattered clouds,26.1842,127.7558,Nanjo
335,Riyadh,SA,77.14,overcast clouds,24.6877,46.7219,Riyadh
342,Maner,IN,87.71,few clouds,25.65,84.8833,Maner
349,Sao Miguel Do Araguaia,BR,75.18,few clouds,-13.275,-50.1628,São Miguel do Araguaia
351,Umm Kaddadah,SD,75.07,broken clouds,13.6017,26.6876,Umm Kadadda
355,Ixtapa,MX,75.22,clear sky,20.7,-105.2,Puerto Vallarta
356,Guasdualito,VE,78.51,few clouds,7.2424,-70.7324,Guasdualito
357,Sao Joao Da Barra,BR,76.06,few clouds,-21.6403,-41.0511,Grussaí
364,Aneho,TG,77.59,overcast clouds,6.2333,1.6,Grand Popo
365,Bengkulu,ID,84.38,few clouds,-3.8004,102.2655,Bengkulu
371,Kluang,MY,76.01,overcast clouds,2.0251,103.3328,Kluang
379,Tual,ID,83.32,overcast clouds,-5.6667,132.75,Tual
380,Miri,MY,85.75,broken clouds,4.4148,114.0089,Miri
382,Tura,IN,83.88,few clouds,25.5198,90.2201,Tura
384,Port Blair,IN,89.64,scattered clouds,11.6667,92.75,Port Blair
388,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Honolulu
392,Meulaboh,ID,84.63,overcast clouds,4.1363,96.1285,Meulaboh
395,Dingle,PH,78.1,overcast clouds,10.9995,122.6711,Pototan
396,Celestun,MX,82.13,few clouds,20.8667,-90.4,Celestún
399,Eyl,SO,82.47,overcast clouds,7.9803,49.8164,Eyl
400,Taoudenni,ML,79.25,scattered clouds,22.6783,-3.9836,Taoudenni
405,Mankono,CI,75.45,overcast clouds,8.0586,-6.1897,Mankono
416,Mogadishu,SO,82.72,broken clouds,2.0371,45.3438,Mogadishu
425,George Town,MY,87.73,few clouds,5.4112,100.3354,George Town
434,Gamba,GA,76.75,light rain,-2.65,10.0,Foundou
438,Dezful,IR,76.86,broken clouds,32.3811,48.4058,Dezful
448,Dharchula,IN,83.89,clear sky,29.85,80.5333,Suwa
454,Olinda,BR,78.53,few clouds,-8.0089,-34.8553,Recife
