City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Zheshart,RU,2022-04-13 03:55:53,62.0731,49.5733,37.42,99,100,5.73
1,Anshun,CN,2022-04-13 03:55:54,26.25,105.9333,67.5,54,0,7.78
2,Ushuaia,AR,2022-04-13 03:55:23,-54.8,-68.3,37.06,87,75,19.57
3,Tasiilaq,GL,2022-04-13 03:55:54,65.6145,-37.6368,21.27,88,100,7.2
4,Socorro,US,2022-04-13 03:55:55,31.6546,-106.3033,72.59,26,14,30.53
5,Wuwei,CN,2022-04-13 03:55:55,37.9281,102.6414,47.48,29,100,4.34
6,Albany,US,2022-04-13 03:55:55,42.6001,-73.9662,48.92,48,86,4.47
7,Bambous Virieux,MU,2022-04-13 03:55:56,-20.3428,57.7575,79.21,88,75,11.5
8,Chokurdakh,RU,2022-04-13 03:51:07,70.6333,147.9167,6.75,85,100,2.39
9,Noumea,NC,2022-04-13 03:54:34,-22.2763,166.4572,85.98,74,15,7.27
10,Mar Del Plata,AR,2022-04-13 03:51:37,-38.0023,-57.5575,54.09,83,0,8.99
11,Bubaque,GW,2022-04-13 03:55:56,11.2833,-15.8333,74.14,75,99,7.4
12,Atuona,PF,2022-04-13 03:55:57,-9.8,-139.0333,79.54,79,19,17.67
13,Hithadhoo,MV,2022-04-13 03:55:57,-0.6,73.0833,83.68,70,6,11.16
14,Airai,TL,2022-04-13 03:55:58,-8.9266,125.4092,74.64,58,89,2.68
15,Goundam,ML,2022-04-13 03:55:58,16.4145,-3.6708,80.96,11,100,5.12
16,Bredasdorp,ZA,2022-04-13 03:55:58,-34.5322,20.0403,61.92,91,97,3.22
17,Ponta Do Sol,PT,2022-04-13 03:51:39,32.6667,-17.1,66.0,78,92,3.31
18,Rikitea,PF,2022-04-13 03:55:59,-23.1203,-134.9692,79.12,71,13,20.92
19,East London,ZA,2022-04-13 03:56:00,-33.0153,27.9116,67.14,100,75,8.05
20,Punta Arenas,CL,2022-04-13 03:56:00,-53.15,-70.9167,44.71,65,40,23.02
21,Esperance,AU,2022-04-13 03:56:00,-33.8667,121.9,71.44,77,36,15.32
22,Tuktoyaktuk,CA,2022-04-13 03:56:01,69.4541,-133.0374,21.2,68,75,12.66
23,Bethel,US,2022-04-13 03:56:01,41.3712,-73.414,53.65,68,72,2.84
24,Yellowknife,CA,2022-04-13 03:56:01,62.456,-114.3525,9.12,52,20,4.61
25,Kapaa,US,2022-04-13 03:56:02,22.0752,-159.319,77.18,83,76,4.0
26,Port Elizabeth,ZA,2022-04-13 03:56:02,-33.918,25.5701,62.89,99,0,5.75
27,Caravelas,BR,2022-04-13 03:47:12,-17.7125,-39.2481,75.27,90,57,3.51
28,Anadyr,RU,2022-04-13 03:56:03,64.75,177.4833,28.9,74,75,20.13
29,Clyde River,CA,2022-04-13 03:56:03,70.4692,-68.5914,-5.57,77,0,10.36
30,Utrecht,NL,2022-04-13 03:52:11,52.0,5.25,55.98,85,100,1.01
31,Newport,GB,2022-04-13 03:51:30,51.5877,-2.9984,52.52,91,59,7.87
32,Constantine,DZ,2022-04-13 03:56:04,36.365,6.6147,56.61,71,20,9.22
33,Codrington,AU,2022-04-13 03:56:05,-38.2667,141.9667,65.89,61,85,11.12
