City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kingman,US,2022-03-20 04:57:48,35.1894,-114.053,67.48,21,80,12.64
1,Pevek,RU,2022-03-20 04:57:49,69.7008,170.3133,-0.53,76,23,13.94
2,Punta Arenas,CL,2022-03-20 04:57:49,-53.15,-70.9167,48.31,66,0,11.5
3,Ushuaia,AR,2022-03-20 04:53:07,-54.8,-68.3,38.52,86,100,10.74
4,Tiksi,RU,2022-03-20 04:57:49,71.6872,128.8694,10.81,77,100,24.32
5,Saskylakh,RU,2022-03-20 04:57:50,71.9167,114.0833,9.36,92,100,2.71
6,Acajutla,SV,2022-03-20 04:57:50,13.5928,-89.8275,81.01,75,78,3.56
7,Faanui,PF,2022-03-20 04:57:50,-16.4833,-151.75,82.83,73,22,15.95
8,Lardos,GR,2022-03-20 04:57:51,36.0942,28.0157,42.94,47,1,10.94
9,Albany,US,2022-03-20 04:57:51,42.6001,-73.9662,53.38,91,50,8.66
10,Butaritari,KI,2022-03-20 04:56:18,3.0707,172.7902,80.55,83,32,18.05
11,Kapaa,US,2022-03-20 04:57:52,22.0752,-159.319,78.78,79,75,6.91
12,Hermanus,ZA,2022-03-20 04:57:52,-34.4187,19.2345,70.81,89,32,9.51
13,Port Alfred,ZA,2022-03-20 04:57:52,-33.5906,26.891,71.82,84,17,4.32
14,Rikitea,PF,2022-03-20 04:57:53,-23.1203,-134.9692,80.55,74,24,10.74
15,Karakol,KG,2022-03-20 04:57:53,42.4907,78.3936,31.62,79,100,7.94
16,Qaanaaq,GL,2022-03-20 04:57:54,77.484,-69.3632,-8.03,94,100,7.49
17,Ati,TD,2022-03-20 04:57:54,13.2154,18.3353,70.97,8,5,8.81
18,Victoria,HK,2022-03-20 04:56:52,22.2855,114.1577,70.97,91,96,11.01
19,Carnarvon,AU,2022-03-20 04:57:55,-24.8667,113.6333,84.27,65,19,14.97
20,Iskateley,RU,2022-03-20 04:57:55,67.6803,53.1512,29.59,86,85,26.84
21,Bluff,NZ,2022-03-20 04:57:55,-46.6,168.3333,67.8,75,56,16.58
22,Chokurdakh,RU,2022-03-20 04:57:56,70.6333,147.9167,0.3,90,100,6.17
23,Luderitz,NA,2022-03-20 04:57:56,-26.6481,15.1594,74.01,64,0,7.27
24,Avarua,CK,2022-03-20 04:57:56,-21.2078,-159.775,80.65,78,54,1.14
25,Rezina,MD,2022-03-20 04:57:57,47.7492,28.9622,29.21,53,21,6.29
26,Sao Domingos,BR,2022-03-20 04:57:57,-13.3983,-46.3183,71.89,73,75,2.84
27,Puerto Ayora,EC,2022-03-20 04:57:58,-0.7393,-90.3518,78.15,81,37,4.12
28,Namtsy,RU,2022-03-20 04:57:58,62.7161,129.6658,12.78,79,99,6.51
29,Saint-Philippe,RE,2022-03-20 04:57:58,-21.3585,55.7679,82.11,89,91,13.98
30,Hobart,AU,2022-03-20 04:56:42,-42.8794,147.3294,69.66,63,75,6.91
31,Lagoa,PT,2022-03-20 04:57:59,39.05,-27.9833,56.97,68,98,23.13
32,Half Moon Bay,US,2022-03-20 04:54:36,37.4636,-122.4286,54.05,85,100,23.02
33,Atuona,PF,2022-03-20 04:57:59,-9.8,-139.0333,78.82,79,12,13.42
34,Vaini,TO,2022-03-20 04:58:00,-21.2,-175.2,75.36,94,100,14.97
35,Tuktoyaktuk,CA,2022-03-20 04:58:00,69.4541,-133.0374,-18.4,76,40,3.44
36,Pafos,CY,2022-03-20 04:58:01,34.7667,32.4167,40.78,38,20,10.36
37,Gizo,SB,2022-03-20 04:58:01,-8.103,156.8419,86.07,67,76,6.13
38,Cap-Aux-Meules,CA,2022-03-20 04:58:01,47.3821,-61.8597,28.42,80,100,13.8
39,Vitim,RU,2022-03-20 04:58:02,59.4511,112.5578,23.58,88,100,13.42
40,Les Cayes,HT,2022-03-20 04:58:02,18.2,-73.75,74.44,76,19,1.77
41,Luis Correia,BR,2022-03-20 04:58:03,-2.8792,-41.6669,75.43,90,100,3.44
42,Tasiilaq,GL,2022-03-20 04:58:03,65.6145,-37.6368,-0.06,70,13,7.72
43,Japura,ID,2022-03-20 04:58:03,-0.3167,102.35,89.22,59,99,4.12
44,Hilo,US,2022-03-20 04:59:04,19.7297,-155.09,74.93,88,75,7.0
